author_id,friend_id,claim_id
8ef4ab221a9938b8b23b6bc21c439401,5401fef00e04351885d3bfbaa90aed29,27
c14ee2034c463f06b8efc7eae5294ecf,ccbd7aa1e53238c4abae25850d5db2f9,27
0a5c72ea0a233cfc9dc3d7758fde94f5,8f86fcabdebf34d3a1228fcb9001d66c,27
a382b697e3f634ba8f9b4f8ab41050e9,6285995487b539a48cfe45a2b250710b,27
e5d68b6738563b71b01f2c1ad3da836b,06975ff4e2853b90abbfcc0b7faa0a92,27
12240f0d051c39f79f9bee74a2995e34,9e9eeee3b63731848db1bd6af3a8441d,27
56a8532506c9377c9d3d2cbe3798eb7f,33c11c6552f430dea78866a4a94318fe,27
5da2917f9e18389baf79704402139be1,178c1e6f0014328abe7cc3e13464de75,27
4a3ad7dc1a1030d280b8e565a3f666fb,6b9a3ca0056d372982d07e2ef78fab81,27
d4deacf3962e320393b0038fe5e5bd0f,dabe43abaaf336f1837b9828e1d4fe2a,27
d4deacf3962e320393b0038fe5e5bd0f,4d1b312167f13d2b8ab1bac209e05f4e,27
ee56731121df36dea718d22a0bb9c85b,9e9eeee3b63731848db1bd6af3a8441d,27
9d1ff3e70d223409ad9444c37bd66093,2d80d86416673c0698b51b0e82028987,27
01478ea62af83fbdae4fc847fd5f0a8d,6b9a3ca0056d372982d07e2ef78fab81,27
36b1f904d1cf3bcc9334c755154cd068,24a08f793963359392168896c01c4b18,27
0108e73a62a035b19c28dc3bec480452,dabe43abaaf336f1837b9828e1d4fe2a,27
ffd491f3ecdf3cfda7b496d0d03848a9,fae129e828643a60a39a239734fbe39c,27
c450c23cf8623f178888f0c3592103eb,dabe43abaaf336f1837b9828e1d4fe2a,27
f5e4d41cbe083639b4482d665f02ef7e,06975ff4e2853b90abbfcc0b7faa0a92,27
1d796ca6b0df3ba3aec1ef1a8a64c6bb,33c11c6552f430dea78866a4a94318fe,27
79f70f6c0b5034859f3de96737426e26,1672d03fae31305d85927e4b9e12415e,27
740c11df98413520b2cbdbb4337607b4,1672d03fae31305d85927e4b9e12415e,27
6e25163867943e9ba4279eeed3021d69,dabe43abaaf336f1837b9828e1d4fe2a,27
8bfefb9f6d113249b997d6c50a465e18,4f92957bf334314a97fe752fb0b8a5a1,27
20a01435792439aa87f3564497e12fdf,33c11c6552f430dea78866a4a94318fe,27
12cbc249af2f3b69ad00389cbc943ca4,66d1d4913ecb3c22bb5097c0ae3854fe,27
1e602997e43c3d189be0eabfe73c788e,33411f1ea7d133d5bba5e63e2d42832d,27
3bf78a6fb11238ee8f2654795db6e648,344a9c1e2a88397dbadb73e779f9e290,27
35e3d77fb9aa3b42a2496e0793410383,92cfdbfad64a3903866ea037dc870db1,27
1672d03fae31305d85927e4b9e12415e,a165a7c0e1d0349a8d530b6b32b2bb28,27
b1ca265031743615b86053f2bb8a9467,56ef22ddf10e3f0d86d5596ed3de566b,27
76f5ce322c22391cb404e8fd1d1b8914,33c11c6552f430dea78866a4a94318fe,27
0cbea96344fb3bd8856b5d96239b328c,b0c8e3f3eecd350eb2ca62d92c2895f3,27
8583f67c146f3e28a6318c70bb8dc941,b62d81b3f17b3dd6b493d52d00c6f56b,27
b044a70c35983aae93ee8db9d9ba25f4,5401fef00e04351885d3bfbaa90aed29,27
f4415c5de52a373c943c627b97d93f33,76565e11a6283cc88eb2ca0af595ef3e,27
781c348797fe30e28d005e1faa53e79a,b1ca265031743615b86053f2bb8a9467,27
beab7b4d1f2738c98f94fa71f7bad573,4f92957bf334314a97fe752fb0b8a5a1,27
eb1ea6301af430a587bd69d5c67db7b2,620610b4819a3fc99fb7bd77637e710f,27
337a97806cc33cb8a3013dbb278659bc,4f92957bf334314a97fe752fb0b8a5a1,27
8f4809cc6e3c376cb99650ad9ff6bff8,06975ff4e2853b90abbfcc0b7faa0a92,27
ec0a6173d58135e992d08c0346410ad6,8ef4ab221a9938b8b23b6bc21c439401,27
7eedff1949933dd8a5becb85b80e30f1,6b9a3ca0056d372982d07e2ef78fab81,27
f704eca653ba3056b6bd853f3c2639c0,06975ff4e2853b90abbfcc0b7faa0a92,27
1b64199bf1ee32598552014483231c7a,991a313dcbac34ee800086b7cf7faa74,27
9925cd58fc25395a87dc372bbeb2db77,1672d03fae31305d85927e4b9e12415e,27
4cf87888aba735bdac860ac4ad6267f1,5401fef00e04351885d3bfbaa90aed29,27
9eaeadb969dc30168eb52ce223d8c8a5,43535298ea293dadbcb8ec1fcd73d058,27
0f6c18f5f33f35d69759419e1078fa88,458fce35f8ef3d2dada8955d2b9da410,27
26ee3364a3253310b2aa3c3588c487e7,43535298ea293dadbcb8ec1fcd73d058,27
b0c8e3f3eecd350eb2ca62d92c2895f3,33c11c6552f430dea78866a4a94318fe,27
015d0cc92ba83303868a21f2a6f9d8a4,5401fef00e04351885d3bfbaa90aed29,27
22cd8c0a8fae395f879a955ee844fbc3,66d1d4913ecb3c22bb5097c0ae3854fe,27
4ae43f7dff333e83993f7bf1763e71a2,dabe43abaaf336f1837b9828e1d4fe2a,27
09a3fcf8f1f133bf8d84dfd57131a2ff,6b9a3ca0056d372982d07e2ef78fab81,27
8e95aa51bddc36dd8630037f5952beda,b0c8e3f3eecd350eb2ca62d92c2895f3,27
