@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE ClaimFeatureGenerator_claim_type {False,True} 
 @ATTRIBUTE NetworkxFeatureGenerator_average_clustering numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_density numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_max_load_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_median_load_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_min_load_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_betweenness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_closeness_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_communicability_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_degree numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_eigenvector_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_katz_centrality numeric 
 @ATTRIBUTE NetworkxFeatureGenerator_std_load_centrality numeric 
  @DATA 
0dbae214-f85b-36a6-af82-b713f92d89c7, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
0dc02b2d-5b22-366b-a872-fa4dbae81ea0, True, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
0dfa6aa2-cd12-3e79-91d4-006c664353df, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
10117698-84fa-35ac-bc8a-3cf01eec33f8, False, 0.0, 0.00632943568886629, 0.0289554531490015, 0.1036866359447, 109.29990118933, 29, -1, 0.222544898849895, 0.0289554531490015, 0.0, 0.0366300366300366, 2.77715646715201, 1.0, -1.0, 0.0541297427675493, 0.0, 0.0, 0.00357142857142857, 1.54308063481524, 1, -1, 0.0448821238628069, 0.0, 0.00291486655617615, 0.0219856190264342, 9.6826974942003, 3.30179692667465, 0.0, 0.0194277368854012, 0.00291486655617615 
1045402d-9960-3547-8bfd-745c3dde26df, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
10ceb88d-2d12-3605-9888-7802b5dd2d89, True, 0.0, 0.0234567901234568, 0.153481012658228, 0.35, 99.3233594245109, 28, -1, 0.381839464291335, 0.153481012658228, 0.0, 0.152949438202247, 2.89960705210966, 1.0, -1.0, 0.0979240331576485, 0.0, 0.0, 0.0222222222222222, 1.5911588240476, 1, -1, 0.081375384212212, 0.0, 0.0229207295004987, 0.0604069224112047, 11.2341398842257, 3.56381927202944, 0.0, 0.0375360380974025, 0.0229207295004987 
12995467-1018-39d7-a4d1-1115ffd7fb0e, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
12a650b1-f90f-39de-89b8-b4f2588c3bb6, True, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
12d0c9d9-6958-3c9b-9b8a-b160948697ef, False, 0.0, 0.0242652084757348, 0.314035087719298, 0.47703818369453, 203.624583417561, 36, -1, 0.48442746667335, 0.314035087719298, 0.0, 0.182924416303918, 6.6043606593727, 1.0, -1.0, 0.114799375535374, 0.0, 0.0, 0.0175438596491228, 1.58909177830429, 1, -1, 0.0744820649586111, 0.0, 0.0357282194612525, 0.106835406639752, 22.6947301302762, 4.1343192566579, 0.0, 0.0477896055184207, 0.0357282194612525 
13953077-0683-3d48-817b-2d1474842283, True, 0.0, 0.0243427458617332, 0.367632367632368, 0.352676563202879, 83.9456339351439, 26, -1, 0.374822849619179, 0.367632367632368, 0.0, 0.216156603253377, 2.20144632703667, 1.0, -1.0, 0.0942937065761761, 0.0, 0.0, 0.0128205128205128, 1.54308063481524, 1, -1, 0.0826487068039977, 0.0, 0.0638319362706423, 0.0807897064993918, 9.34453515100129, 3.33980571218762, 0.0, 0.0369238587765202, 0.0638319362706423 
140386ff-09f1-3703-9097-3d4ec90d4ec7, True, 0.0, 0.666666666666667, 1.0, 1.0, 2.17818355660857, 2, -1, 0.61078391372244, 1.0, 0.0, 0.666666666666667, 1.58909177830428, 1.0, -1.0, 0.559885260896328, 0.0, 0.0, 0.666666666666667, 1.58909177830428, 1, -1, 0.559885260896328, 0.0, 0.471404520791032, 0.157134840263677, 0.277700527453468, 0.471404520791032, 0.0, 0.0239938550444022, 0.471404520791032 
14613db4-9422-337d-b447-d7f548da4201, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
147fe6f8-bd06-3d49-bff6-4a567f80321f, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
1481b02a-bf76-379f-8ad9-6764ac798b67, False, 0.0, 0.00191774342656892, 0.110149170770802, 0.0825774048595821, 442.27373773275, 46, -1, 0.208029902612273, 0.110118829614118, 0.0, 0.0147868728781592, 2.90624689721833, 1.0, -1.0, 0.0270513456606927, 0.0, 0.0, 0.00103734439834025, 1.54308063481524, 1, -1, 0.0220449846412232, 0.0, 0.00850804971756227, 0.0236321854096573, 19.4107361234558, 3.73970585427608, 0.0, 0.012686761420718, 0.00850752636760363 
1523e4b3-2b9b-3d61-8d1a-037b96c83454, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
15f046bc-efe4-387e-85bb-ac8e82bdea1d, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
1683d4db-bf9c-3ff6-9711-a808e84b3808, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
171d702c-6cdd-3718-b939-30985ea5f520, False, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ? 
