@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE ClaimFeatureGenerator_claim_type numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_friends_followers_ratio numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_friends_followers_ratio numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_verified numeric 
  @DATA 
0c01d329-05bb-3333-a4e3-9216f57b7d26, False, 1.30088943053548, 6970, 19496, 1577, 161, 0, 63093, 700, 48741, 344767, 9767, 2215, 0, 163870, 1, 0, 17, 0, 0, 0, 59, 0, 1.28844111654916, 13219.5436423049, 76689.4501581692, 2541.53967119874, 495.068718473588, 0.0, 58578.4031680874, 701 
0c38004a-b3e6-33f5-a953-647a8a0f1015, False, 3.28710044580731, 11900, 867, 1558, 7, 0, 9017, 700, 44877, 7358, 7479, 30, 0, 23271, 0, 3, 1, 0, 0, 0, 5, 0, 4.16619435724757, 15673.5585986978, 1610.56999596769, 1895.52819585313, 8.6158393079612, 0.0, 8728.03219739599, 701 
0cb19e3e-9d11-3426-a398-8b7a1e223129, True, 1.31777034933761, 30904, 11990, 3283, 206, 0, 56169, 700, 234007, 182978, 22150, 2413, 0, 205649, 1, 0, 34, 7, 1, 0, 3762, 0, 1.67200999220772, 53106.9352684315, 38650.7858670493, 6405.97211173144, 537.582669022224, 0.0, 54527.4107005136, 701 
0d43a017-285c-3399-af80-ea5f4ffecb15, False, 1.68942766996445, 26265, 5875, 4833, 18, 0, 31683, 700, 131972, 46964, 30502, 128, 0, 186214, 0, 0, 11, 65, 0, 0, 2881, 0, 1.5178696169288, 39024.4657590254, 10972.4327448312, 7026.28047466038, 35.5355785621959, 0.0, 48151.856415245, 701 
0dbae214-f85b-36a6-af82-b713f92d89c7, False, 1.76487498280623, 18809, 1542, 1705, 10, 0, 22202, 700, 66417, 6437, 6601, 35, 0, 61456, 0, 302, 3, 16, 0, 0, 493, 0, 2.02910647880959, 19192.8730063591, 2003.02162049948, 2091.91962367376, 11.77819008901, 0.0, 21005.2645085653, 701 
0dc02b2d-5b22-366b-a872-fa4dbae81ea0, True, 4.32559364774709, 15792, 3435, 2688, 54, 0, 31783, 700, 129547, 48215, 34925, 718, 0, 266573, 1, 4, 1, 32, 0, 0, 163, 0, 7.15099383601589, 27400.4896360428, 9108.16857507119, 6548.0727131605, 150.841712912377, 0.0, 56315.4738309868, 701 
0dfa6aa2-cd12-3e79-91d4-006c664353df, False, 2.67543613783646, 4071, 509, 725, 12, 0, 11910, 700, 66310, 7546, 8171, 111, 0, 72499, 0, 0, 0, 4, 0, 0, 49, 0, 2.80616884898407, 10810.7355811186, 1101.01947217855, 1286.26137173012, 23.9832710753621, 0.0, 18908.9759135797, 701 
10117698-84fa-35ac-bc8a-3cf01eec33f8, False, 2.84382376169303, 12168, 3559, 1183, 70, 0, 23983, 700, 154556, 188473, 15283, 3166, 0, 253845, 1, 0, 1, 1, 0, 0, 32, 0, 4.36888296917159, 24178.4004484136, 18130.2878218999, 2135.70691735029, 319.422571929347, 0.0, 41875.285215793, 701 
1045402d-9960-3547-8bfd-745c3dde26df, False, 1.56288215019335, 24230, 16740, 6333, 135, 0, 124811, 700, 646698, 226784, 94100, 1431, 0, 1030616, 1, 0, 0, 0, 0, 0, 77, 0, 2.91290741889729, 94844.794139062, 41053.2613145572, 18202.9274935133, 262.431098589921, 0.0, 214789.88853291, 701 
10ceb88d-2d12-3605-9888-7802b5dd2d89, True, 2.81632466854777, 26853, 14564, 3960, 327, 0, 97412, 700, 384642, 217487, 46195, 4643, 0, 525527, 1, 0, 34, 27, 0, 0, 1742, 0, 2.89374193851595, 80618.181458564, 46853.2485794566, 9482.41637625371, 964.538652405113, 0.0, 152875.442083276, 701 
12995467-1018-39d7-a4d1-1115ffd7fb0e, False, 1.80252995549885, 7274, 19144, 1264, 309, 0, 16055, 700, 81308, 217487, 6898, 4643, 0, 54622, 1, 0, 13, 9, 0, 0, 65, 0, 2.09989164539058, 17926.145270526, 54746.9179063762, 1878.33203334767, 1034.92103442726, 0.0, 15763.5971284317, 701 
12a650b1-f90f-39de-89b8-b4f2588c3bb6, True, 4.46522429663686, 7249, 13056, 2016, 203, 0, 34540, 700, 67002, 620588, 47163, 8486, 0, 301528, 1, 0, 0, 0, 0, 0, 9, 0, 16.3430644471755, 14189.4859703465, 78901.4737356544, 6054.08212735258, 1075.66291929051, 0.0, 52725.2845404359, 701 
