topic_number,buckets,authors,posts,post_author_ratio
22,0.3,19,19,1.0
22,0.4,5,5,1.0
22,0.5,9,9,1.0
22,0.6,6,7,1.1666666666666667
22,0.7,2,2,1.0
22,0.8,0,0,-1.0
22,0.9,1,1,1.0
22,1.0,0,0,-1.0
23,0.1,11,12,1.0909090909090908
23,0.2,7,7,1.0
23,0.3,4,4,1.0
23,0.4,3,5,1.6666666666666667
23,0.5,2,2,1.0
23,0.6,1,1,1.0
23,0.7,2,2,1.0
23,0.8,0,0,-1.0
23,0.9,1,1,1.0
23,1.0,1,5,5.0
24,0.1,33,34,1.0303030303030303
24,0.2,27,27,1.0
24,0.3,19,19,1.0
24,0.4,6,6,1.0
24,0.5,8,10,1.25
24,0.6,1,1,1.0
24,0.7,0,0,-1.0
24,0.8,1,1,1.0
24,0.9,0,0,-1.0
24,1.0,0,0,-1.0
25,0.1,37,38,1.027027027027027
25,0.2,14,15,1.0714285714285714
25,0.3,17,19,1.1176470588235294
25,0.4,5,6,1.2
25,0.5,9,12,1.3333333333333333
25,0.6,2,2,1.0
25,0.7,1,5,5.0
25,0.8,0,0,-1.0
25,0.9,0,0,-1.0
25,1.0,0,0,-1.0
26,0.1,15,15,1.0
26,0.2,22,23,1.0454545454545454
26,0.3,14,14,1.0
26,0.4,10,12,1.2
26,0.5,3,3,1.0
26,0.6,6,10,1.6666666666666667
26,0.7,1,2,2.0
26,0.8,0,0,-1.0
26,0.9,0,0,-1.0
26,1.0,0,0,-1.0
27,0.1,28,30,1.0714285714285714
27,0.2,20,20,1.0
27,0.3,11,11,1.0
27,0.4,8,8,1.0
27,0.5,4,4,1.0
27,0.6,2,2,1.0
27,0.7,1,1,1.0
27,0.8,0,0,-1.0
27,0.9,0,0,-1.0
27,1.0,0,0,-1.0
28,0.1,26,26,1.0
28,0.2,10,10,1.0
28,0.3,10,10,1.0
28,0.4,7,7,1.0
28,0.5,4,5,1.25
28,0.6,0,0,-1.0
28,0.7,0,0,-1.0
28,0.8,1,9,9.0
28,0.9,0,0,-1.0
28,1.0,0,0,-1.0
29,0.1,16,16,1.0
29,0.2,7,10,1.4285714285714286
29,0.3,9,9,1.0
29,0.4,9,9,1.0
29,0.5,6,12,2.0
29,0.6,1,1,1.0
29,0.7,1,1,1.0
29,0.8,0,0,-1.0
29,0.9,0,0,-1.0
29,1.0,0,0,-1.0
30,0.1,9,9,1.0
30,0.2,15,19,1.2666666666666666
30,0.3,11,11,1.0
30,0.4,8,8,1.0
30,0.5,3,4,1.3333333333333333
30,0.6,1,1,1.0
30,0.7,2,11,5.5
30,0.8,0,0,-1.0
30,0.9,0,0,-1.0
30,1.0,0,0,-1.0
31,0.1,16,16,1.0
31,0.2,14,14,1.0
31,0.3,13,13,1.0
31,0.4,10,11,1.1
31,0.5,5,7,1.4
31,0.6,2,2,1.0
31,0.7,1,1,1.0
31,0.8,0,0,-1.0
31,0.9,0,0,-1.0
31,1.0,0,0,-1.0
32,0.1,11,13,1.1818181818181819
32,0.2,13,13,1.0
32,0.3,6,6,1.0
32,0.4,4,4,1.0
32,0.5,0,0,-1.0
32,0.6,1,1,1.0
32,0.7,1,1,1.0
32,0.8,1,2,2.0
32,0.9,0,0,-1.0
32,1.0,0,0,-1.0
33,0.1,13,13,1.0
33,0.2,22,22,1.0
33,0.3,8,8,1.0
33,0.4,9,9,1.0
33,0.5,4,4,1.0
33,0.6,2,2,1.0
