title,postUrl,userId,DATE,hashtags,tweet_urls,name,userUrl,website,location,description,followers,favorite,tweets,thumbnail
"In a @FoxNews interview, @KenPaxtonTX said Texas since 2011 has had 600,000 crimes and 1,200 homicides committed by illegal immigrants.PANTS ON FIRE: https://t.co/6YRLyR7mzn https://t.co/W6Yd9IztDg",twitter.com/PolitiFactTexas/status/1038156198367780864,91377501,2018-09-07 23:05:00,,"http://bit.ly/2wTHoJv,",PolitiFact Texas,https://twitter.com/PolitiFactTexas,https://t.co/wFLZKa5g8t,"Austin, Texas","The nonpartisan politics fact-checking project of the Austin American-Statesman, Houston Chronicle, San Antonio Express-News and https://t.co/g7BBBPDHUm.",11916,678,8355,http://pbs.twimg.com/profile_images/984137857018327040/3j-B6U9y_normal.jpg
"@Montel_Williams This is what your fearless lying democrats want for America. They no longer care about the black community, nor have they ever ,they  are all about illegals now while they fight to kill 600 of our black babies a day. Wake up https://t.co/",twitter.com/silent_sts/status/1038962626691248128,1445037980,2018-09-10 4:29:27,,,SILENT MAJORITY #STS,https://twitter.com/silent_sts,,USA,so proud to be part of the movement that is awakened to the deceitful left. #WalkAway  I love #Christ and try to live my life as he would want us to. #MAGA,5666,21121,46431,http://pbs.twimg.com/profile_images/1037759531491766273/2BJ7FLY5_normal.jpg
"ARIZONA - Gilbert Home for Sale #ownerwillcarry Short Sale - E Dublin St.Gilbert, AZ. 85295Single Family Home4BD/2BA. 2011 sq ftAsking: $314,000 https://t.co/kCJHy92pfH https://t.co/i47yXz78Pk",twitter.com/owcdailyspecial/status/1041295857298104320,51004059,2018-09-16 15:00:53,"ownerwillcarry,","http://ownerwillcarry.com/texas-rent-to-own-homes-for-sale/discounted-homes-for-sale/4300/,",OwnerWillCarry.Com,https://twitter.com/owcdailyspecial,http://t.co/bf791RCgfV,"La Verne, CA","Launched on Thanksgiving Day 2002, https://t.co/MxZX78gXds is the largest Owner Finance / Lease Option Real Estate classified advertising service online.",1279,55,35110,http://pbs.twimg.com/profile_images/1757636294/05ownerwill_normal.jpg
